Designator,Mid X,Mid Y,Layer,Rotation
C5,104.600000mm,-75.900000mm,Bottom,90
J2,105.800000mm,-106.000000mm,Bottom,0
J3,93.350000mm,-106.650000mm,Bottom,-90
R12,89.900000mm,-103.700000mm,Bottom,0
R22,86.800000mm,-102.500000mm,Bottom,90
SW4,103.750000mm,-84.500000mm,Bottom,90
U3,92.000000mm,-82.250000mm,Bottom,180
C6,84.500000mm,-101.500000mm,Top,0
C7,117.750000mm,-101.000000mm,Top,180
C8,119.750000mm,-104.750000mm,Top,-90
C9,93.100000mm,-103.000000mm,Top,-90
C10,115.000000mm,-106.400000mm,Top,0
C11,77.500000mm,-76.250000mm,Top,0
C12,81.000000mm,-76.250000mm,Top,180
C13,77.500000mm,-79.750000mm,Top,0
C14,81.000000mm,-79.750000mm,Top,180
C15,77.500000mm,-83.250000mm,Top,0
C16,81.000000mm,-83.250000mm,Top,180
C17,77.500000mm,-86.750000mm,Top,0
C18,81.000000mm,-86.750000mm,Top,180
C19,77.500000mm,-90.250000mm,Top,0
C20,81.000000mm,-90.250000mm,Top,180
C21,77.500000mm,-93.750000mm,Top,0
C22,81.000000mm,-93.750000mm,Top,180
C23,77.500000mm,-100.750000mm,Top,0
C24,81.000000mm,-100.750000mm,Top,180
C25,84.500000mm,-76.250000mm,Top,0
C26,88.000000mm,-76.250000mm,Top,180
C27,84.500000mm,-79.750000mm,Top,0
C28,88.000000mm,-79.750000mm,Top,180
C29,84.500000mm,-83.250000mm,Top,0
C30,88.000000mm,-83.250000mm,Top,180
C31,84.500000mm,-86.750000mm,Top,0
C32,88.000000mm,-86.750000mm,Top,180
C33,84.500000mm,-90.250000mm,Top,0
C34,88.000000mm,-90.250000mm,Top,180
C35,84.500000mm,-93.750000mm,Top,0
C36,88.000000mm,-93.750000mm,Top,180
C37,84.500000mm,-100.750000mm,Top,0
C38,88.000000mm,-100.750000mm,Top,180
C39,91.500000mm,-76.250000mm,Top,0
C40,95.000000mm,-76.250000mm,Top,180
