Comment,Designator,Footprint,LCSC
FM6126,"RU1,RU2,RU3,RU4,RU5,RU6",SSOP-24_3.9x8.7mm_P0.635mm,C121618
AO3401A,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",SOT-23,C15127
100n,"C1,C3",C_0402_1005Metric,C1525
510,"R10,R11,R12,R13,R14,R9",R_0402_1005Metric,C25123
10k,"R1,R15,R16,R17,R2,R3,R4,R5,R6,R7,R8",R_0402_1005Metric,C25744
LED_RGBA,"D0_1,D0_2,D0_3,D0_4,D0_5,D0_6,D0_7,D0_8,D1,D10_1,D10_2,D10_3,D10_4,D10_5,D10_6,D10_7,D10_8,D11_1,D11_2,D11_3,D11_4,D11_5,D11_6,D11_7,D11_8,D12_1,D12_2,D12_3,D12_4,D12_5,D12_6,D12_7,D12_8,D13_1,D13_2,D13_3,D13_4,D13_5,D13_6,D13_7,D13_8,D14_1,D14_2,D14_3,D14_4,D14_5,D14_6,D14_7,D14_8,D15_1,D15_2,D15_3,D15_4,D15_5,D15_6,D15_7,D15_8,D16_1,D16_2,D16_3,D16_4,D16_5,D16_6,D16_7,D16_8,D17_1,D17_2,D17_3,D17_4,D17_5,D17_6,D17_7,D17_8,D18_1,D18_2,D18_3,D18_4,D18_5,D18_6,D18_7,D18_8,D19_1,D19_2,D19_3,D19_4,D19_5,D19_6,D19_7,D19_8,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D20_1,D20_2,D20_3,D20_4,D20_5,D20_6,D20_7,D20_8,D21_1,D21_2,D21_3,D21_4,D21_5,D21_6,D21_7,D21_8,D22_1,D22_2,D22_3,D22_4,D22_5,D22_6,D22_7,D22_8,D23_1,D23_2,D23_3,D23_4,D23_5,D23_6,D23_7,D23_8,D24_1,D24_2,D24_3,D24_4,D24_5,D24_6,D24_7,D24_8,D25_1,D25_2,D25_3,D25_4,D25_5,D25_6,D25_7,D25_8,D26_1,D26_2,D26_3,D26_4,D26_5,D26_6,D26_7,D26_8,D27_1,D27_2,D27_3,D27_4,D27_5,D27_6,D27_7,D27_8,D28_1,D28_2,D28_3,D28_4,D28_5,D28_6,D28_7,D28_8,D29_1,D29_2,D29_3,D29_4,D29_5,D29_6,D29_7,D29_8,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D30_1,D30_2,D30_3,D30_4,D30_5,D30_6,D30_7,D30_8,D31_1,D31_2,D31_3,D31_4,D31_5,D31_6,D31_7,D31_8,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D6_1,D6_2,D6_3,D6_4,D6_5,D6_6,D6_7,D6_8,D7_1,D7_2,D7_3,D7_4,D7_5,D7_6,D7_7,D7_8,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_7,D8_8,D9_1,D9_2,D9_3,D9_4,D9_5,D9_6,D9_7,D9_8",0606,C2874115
2016/DNP,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C3013592
10p/DNP,"C7,C8",C_0402_1005Metric,C32949
470n,"C10,C2,C4,C5",C_0402_1005Metric,C47339
STM32G070CBTx,U1,LQFP-48_7x7mm_P0.5mm,C529338
XC6206PxxxMR,U2,SOT-23-3,C5446
TP,TP5,TestPoint_Pad_D1.0mm,
TP,TP7,TestPoint_Pad_D1.0mm,
TP,TP9,TestPoint_Pad_D1.0mm,
TP,TP28,TestPoint_Pad_D1.0mm,
TP,TP30,TestPoint_Pad_D1.0mm,
TP,TP31,TestPoint_Pad_D1.0mm,
TP,TP15,TestPoint_Pad_D1.0mm,
TP,TP6,TestPoint_Pad_D1.0mm,
TP,TP12,TestPoint_Pad_D1.0mm,
TP,TP29,TestPoint_Pad_D1.0mm,
TP,TP10,TestPoint_Pad_D1.0mm,
TP,TP24,TestPoint_Pad_D1.0mm,
TP,TP13,TestPoint_Pad_D1.0mm,
TP,TP26,TestPoint_Pad_D1.0mm,
TP,TP18,TestPoint_Pad_D1.0mm,
TP,TP19,TestPoint_Pad_D1.0mm,
TP,TP8,TestPoint_Pad_D1.0mm,
TP,TP16,TestPoint_Pad_D1.0mm,
TP,TP22,TestPoint_Pad_D1.0mm,
TP,TP21,TestPoint_Pad_D1.0mm,
TP,TP11,TestPoint_Pad_D1.0mm,
TP,TP25,TestPoint_Pad_D1.0mm,
TP,TP4,TestPoint_Pad_D1.0mm,
TP,TP17,TestPoint_Pad_D1.0mm,
TP,TP14,TestPoint_Pad_D1.0mm,
TP,TP2,TestPoint_Pad_D1.0mm,
TP,TP1,TestPoint_Pad_D1.0mm,
TP,TP27,TestPoint_Pad_D1.0mm,
TP,TP3,TestPoint_Pad_D1.0mm,
TP,TP23,TestPoint_Pad_D1.0mm,
TP,TP20,TestPoint_Pad_D1.0mm,
TP,TP32,TestPoint_Pad_D1.0mm,
